"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$2.1760 hourly"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$2.2277 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","8.00 GiB/vCPU","900 GB                 NVMe SSD","12 Gigabit","$2.2320 hourly"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","7.62 GiB/vCPU","EBS only","10 Gigabit","$2.2800 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","12 Gigabit","$2.3040 hourly"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$2.3040 hourly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.3040 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","18.75 Gigabit","$2.3040 hourly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","6.00 GiB/vCPU","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.3052 hourly"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","30 Gigabit","$2.3200 hourly"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","30 Gigabit","$2.3200 hourly"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$2.3840 hourly"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","10 Gigabit","$2.3840 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","20 Gigabit","$2.4192 hourly"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","1900 GB                 NVMe SSD","12.5 Gigabit","$2.4192 hourly"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.4192 hourly"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","900 GB                 NVMe SSD","25 Gigabit","$2.4480 hourly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$2.4480 hourly"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.4576 hourly"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.4576 hourly"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$2.4640 hourly"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$2.4640 hourly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","20 Gigabit","$2.4640 hourly"
"I4G Eight Extra Large","i4g.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$2.4710 hourly"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$2.4720 hourly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","7.62 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","10 Gigabit","$2.4960 hourly"
"M6IDN Eight Extra Large","m6idn.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","1900 GB                 NVMe SSD","50 Gigabit","$2.5459 hourly"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","22.5 Gigabit","$2.5704 hourly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","1.88 GiB/vCPU","240 GB                 (2 * 120 GB SSD)","High","$2.6000 hourly"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","30 Gigabit","$2.6112 hourly"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","30 Gigabit","$2.6112 hourly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","7.62 GiB/vCPU","640 GB                 (2 * 320 GB SSD)","10 Gigabit","$2.6600 hourly"
"R5DN Eight Extra Large","r5dn.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","$2.6720 hourly"
"X2GD Eight Extra Large","x2gd.8xlarge","512.0 GiB","32 vCPUs","16.00 GiB/vCPU","1900 GB                 NVMe SSD","12 Gigabit","$2.6720 hourly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.7120 hourly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","8.00 GiB/vCPU","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.7120 hourly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","10 Gigabit","$2.7120 hourly"
"C6I 16xlarge","c6i.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$2.7200 hourly"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","18.75 Gigabit","$2.7216 hourly"
"C6IN 12xlarge","c6in.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","75 Gigabit","$2.7216 hourly"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$2.7440 hourly"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$2.7440 hourly"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$2.7460 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","12 Gigabit","$2.7520 hourly"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","2400 GB                 (2 * 1200 GB NVMe SSD)","20 Gigabit","$2.7520 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","7.62 GiB/vCPU","24576 GB                 (12 * 2048 GB HDD)","High","$2.7600 hourly"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.7648 hourly"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$2.7648 hourly"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","100 Gigabit","$2.7648 hourly"
"R6IN Eight Extra Large","r6in.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","50 Gigabit","$2.7893 hourly"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.8476 hourly"
"M5N 12xlarge","m5n.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$2.8560 hourly"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.8928 hourly"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.8928 hourly"
"IM4GN Eight Extra Large","im4gn.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","15000 GB                 (2 * 7500 GB NVMe SSD)","50 Gigabit","$2.9103 hourly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","12 Gigabit","$3.0240 hourly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","18.75 Gigabit","$3.0240 hourly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","72 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$3.0600 hourly"
"P3 High Performance GPU Double Extra Large","p3.2xlarge","61.0 GiB","8 vCPUs","7.62 GiB/vCPU","EBS only","Up to 10 Gigabit","$3.0600 hourly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$3.0720 hourly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","20 Gigabit","$3.0720 hourly"
"R6IDN Eight Extra Large","r6idn.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","1900 GB                 NVMe SSD","50 Gigabit","$3.1262 hourly"
"R5AD 12xlarge","r5ad.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$3.1440 hourly"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","4.00 GiB/vCPU","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","$3.1540 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$3.2000 hourly"
"C6ID 16xlarge","c6id.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.2256 hourly"
"R6G Metal","r6g.metal","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$3.2256 hourly"
"R6G 16xlarge","r6g.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$3.2256 hourly"
"M5DN 12xlarge","m5dn.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","$3.2640 hourly"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$3.2960 hourly"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","15.25 GiB/vCPU","940 GB                 NVMe SSD","Up to 10 Gigabit","$3.3000 hourly"
"X2IEDN Quadruple Extra Large","x2iedn.4xlarge","512.0 GiB","16 vCPUs","32.00 GiB/vCPU","475 GB                 NVMe SSD","Up to 25 Gigabit","$3.3345 hourly"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","16 vCPUs","30.50 GiB/vCPU","480 GB                 SSD","Up to 10 Gigabit","$3.3360 hourly"
"X2IEZN Quadruple Extra Large","x2iezn.4xlarge","512.0 GiB","16 vCPUs","32.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$3.3360 hourly"
"M6IN 12xlarge","m6in.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","75 Gigabit","$3.3415 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","16 vCPUs","7.62 GiB/vCPU","3200 GB                 (4 * 800 GB SSD)","High","$3.4100 hourly"
"R7G Metal","r7g.metal","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","30 Gigabit","$3.4272 hourly"
"R7G 16xlarge","r7g.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","30 Gigabit","$3.4272 hourly"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","72 vCPUs","2.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$3.4560 hourly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$3.4560 hourly"
"G4AD 16xlarge","g4ad.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","2400 GB                 (2 * 1200 GB NVMe SSD)","25 Gigabit","$3.4680 hourly"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","32 vCPUs","7.62 GiB/vCPU","240 GB                 (2 * 120 GB HDD)","10 Gigabit","$3.5000 hourly"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","50 Gigabit","$3.5760 hourly"
"R5B 12xlarge","r5b.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","12 Gigabit","$3.5760 hourly"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$3.6160 hourly"
"R5A 16xlarge","r5a.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","12 Gigabit","$3.6160 hourly"
"R6A 16xlarge","r6a.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$3.6288 hourly"
"R6ID 12xlarge","r6id.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$3.6288 hourly"
"C6IN 16xlarge","c6in.16xlarge","128.0 GiB","64 vCPUs","2.00 GiB/vCPU","EBS only","100 Gigabit","$3.6288 hourly"
"C6A 24xlarge","c6a.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","37.5 Gigabit","$3.6720 hourly"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.6864 hourly"
"R6GD Metal","r6gd.metal","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.6864 hourly"
"C5A 24xlarge","c5a.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","20 Gigabit","$3.6960 hourly"
"H1 16xlarge","h1.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","16000 GB                 (8 * 2000 GB HDD)","25 Gigabit","$3.7440 hourly"
"M6ID 16xlarge","m6id.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.7968 hourly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","75 Gigabit","$3.8080 hourly"
"M6IDN 12xlarge","m6idn.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$3.8189 hourly"
"C5N 18xlarge","c5n.18xlarge","192.0 GiB","72 vCPUs","2.67 GiB/vCPU","EBS only","100 Gigabit","$3.8880 hourly"
"C5N Metal","c5n.metal","192.0 GiB","72 vCPUs","2.67 GiB/vCPU","EBS only","100 Gigabit","$3.8880 hourly"
"G4DN 12xlarge","g4dn.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","900 GB                 NVMe SSD","50 Gigabit","$3.9120 hourly"
"M5ZN Metal","m5zn.metal","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","100 Gigabit","$3.9641 hourly"
"M5ZN 12xlarge","m5zn.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","100 Gigabit","$3.9641 hourly"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","47520 GB                 (24 * 1980 GB NVMe HDD)","25 Gigabit","$3.9955 hourly"
"R5DN 12xlarge","r5dn.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","$4.0080 hourly"
"X2GD 12xlarge","x2gd.12xlarge","768.0 GiB","48 vCPUs","16.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$4.0080 hourly"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$4.0320 hourly"
"R5 16xlarge","r5.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","20 Gigabit","$4.0320 hourly"
"C5 High-CPU Metal","c5.metal","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$4.0800 hourly"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$4.0800 hourly"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","37.5 Gigabit","$4.0800 hourly"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","1900 GB                 NVMe SSD","25 Gigabit","$4.0960 hourly"
"C5AD 24xlarge","c5ad.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","20 Gigabit","$4.1280 hourly"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","20 Gigabit","$4.1280 hourly"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","37.5 Gigabit","$4.1472 hourly"
"R6IN 12xlarge","r6in.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","EBS only","75 Gigabit","$4.1839 hourly"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$4.1920 hourly"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","$4.2058 hourly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","64 vCPUs","7.62 GiB/vCPU","EBS only","25 Gigabit","$4.2560 hourly"
"M5DN 16xlarge","m5dn.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","$4.3520 hourly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","900 GB                 NVMe SSD","50 Gigabit","$4.3520 hourly"
"M6IN 16xlarge","m6in.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","EBS only","100 Gigabit","$4.4554 hourly"
"Z1D Metal","z1d.metal","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.4640 hourly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.4640 hourly"
"G3 Graphics GPU 16xlarge","g3.16xlarge","488.0 GiB","64 vCPUs","7.62 GiB/vCPU","EBS only","25 Gigabit","$4.5600 hourly"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","7.31 GiB/vCPU","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","$4.6000 hourly"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$4.6080 hourly"
"M6I 24xlarge","m6i.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","37.5 Gigabit","$4.6080 hourly"
"C5 High-CPU 24xlarge","c5d.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.6080 hourly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$4.6080 hourly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.6080 hourly"
"R5D 16xlarge","r5d.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$4.6080 hourly"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","32 vCPUs","6.00 GiB/vCPU","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$4.6104 hourly"
"R6IDN 12xlarge","r6idn.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$4.6894 hourly"
"INF1 24xlarge","inf1.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","100 Gigabit","$4.7210 hourly"
