"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"R5B 16xlarge","r5b.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","20 Gigabit","$4.7680 hourly"
"R5N 16xlarge","r5n.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","75 Gigabit","$4.7680 hourly"
"C6ID 24xlarge","c6id.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$4.8384 hourly"
"R6ID 16xlarge","r6id.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$4.8384 hourly"
"C6A 32xlarge","c6a.32xlarge","256.0 GiB","128 vCPUs","2.00 GiB/vCPU","EBS only","50 Gigabit","$4.8960 hourly"
"I4G 16xlarge","i4g.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$4.9421 hourly"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$4.9440 hourly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","64 vCPUs","7.62 GiB/vCPU","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$4.9920 hourly"
"I3 High I/O Metal","i3.metal","512.0 GiB","72 vCPUs","7.11 GiB/vCPU","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$4.9920 hourly"
"X2IEZN 6xlarge","x2iezn.6xlarge","768.0 GiB","24 vCPUs","32.00 GiB/vCPU","EBS only","50 Gigabit","$5.0040 hourly"
"M6IDN 16xlarge","m6idn.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$5.0918 hourly"
"VT1 24xlarge","vt1.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$5.2000 hourly"
"R5DN 16xlarge","r5dn.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","$5.3440 hourly"
"X2GD Metal","x2gd.metal","1024.0 GiB","64 vCPUs","16.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$5.3440 hourly"
"X2GD 16xlarge","x2gd.16xlarge","1024.0 GiB","64 vCPUs","16.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$5.3440 hourly"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.4240 hourly"
"I3EN 12xlarge","i3en.12xlarge","384.0 GiB","48 vCPUs","8.00 GiB/vCPU","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$5.4240 hourly"
"R5A 24xlarge","r5a.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","20 Gigabit","$5.4240 hourly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.4240 hourly"
"C6I 32xlarge","c6i.32xlarge","256.0 GiB","128 vCPUs","2.00 GiB/vCPU","EBS only","50 Gigabit","$5.4400 hourly"
"C6I Metal","c6i.metal","256.0 GiB","128 vCPUs","2.00 GiB/vCPU","EBS only","50 Gigabit","$5.4400 hourly"
"C6IN 24xlarge","c6in.24xlarge","192.0 GiB","96 vCPUs","2.00 GiB/vCPU","EBS only","150 Gigabit","$5.4432 hourly"
"R6A 24xlarge","r6a.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","37.5 Gigabit","$5.4432 hourly"
"I4I 16xlarge","i4i.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$5.4910 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","6.78 GiB/vCPU","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","$5.5200 hourly"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$5.5296 hourly"
"R6IN 16xlarge","r6in.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","EBS only","100 Gigabit","$5.5786 hourly"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","3800 GB                 NVMe SSD","40 Gigabit","$5.6720 hourly"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$5.6952 hourly"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","100 Gigabit","$5.7120 hourly"
"M5N 24xlarge","m5n.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","100 Gigabit","$5.7120 hourly"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","4.00 GiB/vCPU","30000 GB                 (4 * 7500 GB NVMe SSD)","100 Gigabit","$5.8207 hourly"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$6.0480 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$6.0480 hourly"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","37.5 Gigabit","$6.0480 hourly"
"M6I 32xlarge","m6i.32xlarge","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$6.1440 hourly"
"M6I Metal","m6i.metal","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$6.1440 hourly"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","8.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$6.2525 hourly"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$6.2880 hourly"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","$6.3086 hourly"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","2.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","2.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","15.25 GiB/vCPU","1920 GB                 SSD","10 Gigabit","$6.6690 hourly"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","32.00 GiB/vCPU","950 GB                 NVMe SSD","25 Gigabit","$6.6690 hourly"
"X2IDN 16xlarge","x2idn.16xlarge","1024.0 GiB","64 vCPUs","16.00 GiB/vCPU","1900 GB                 NVMe SSD","50 Gigabit","$6.6690 hourly"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","30.50 GiB/vCPU","960 GB                 SSD","Up to 10 Gigabit","$6.6720 hourly"
"X2IEZN Eight Extra Large","x2iezn.8xlarge","1024.0 GiB","32 vCPUs","32.00 GiB/vCPU","EBS only","75 Gigabit","$6.6720 hourly"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","150 Gigabit","$6.6830 hourly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","7.62 GiB/vCPU","6400 GB                 (8 * 800 GB SSD)","10 Gigabit","$6.8200 hourly"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$6.9120 hourly"
"R5D Metal","r5d.metal","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$6.9120 hourly"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","100 Gigabit","$7.1520 hourly"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$7.1520 hourly"
"R5N Metal","r5n.metal","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","100 Gigabit","$7.1520 hourly"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","25 Gigabit","$7.1520 hourly"
"P2 General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","32 vCPUs","15.25 GiB/vCPU","EBS only","10 Gigabit","$7.2000 hourly"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$7.2576 hourly"
"C6IN 32xlarge","c6in.32xlarge","256.0 GiB","128 vCPUs","2.00 GiB/vCPU","EBS only","200 Gigabit","$7.2576 hourly"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","EBS only","50 Gigabit","$7.2576 hourly"
"C6IN Metal","c6in.metal","256.0 GiB","128 vCPUs","2.00 GiB/vCPU","EBS only","200 Gigabit","$7.2576 hourly"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","192 vCPUs","2.00 GiB/vCPU","EBS only","50 Gigabit","$7.3440 hourly"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","2.00 GiB/vCPU","EBS only","50 Gigabit","$7.3440 hourly"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$7.5936 hourly"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$7.5936 hourly"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","$7.6378 hourly"
"G4DN Metal","g4dn.metal","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","$7.8240 hourly"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$8.0160 hourly"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$8.0160 hourly"
"R6I Metal","r6i.metal","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","EBS only","50 Gigabit","$8.0640 hourly"
"R6I 32xlarge","r6i.32xlarge","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","EBS only","50 Gigabit","$8.0640 hourly"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","3800 GB                 NVMe SSD","50 Gigabit","$8.1440 hourly"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$8.2944 hourly"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$8.2944 hourly"
"R6IN 24xlarge","r6in.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","EBS only","150 Gigabit","$8.3678 hourly"
"M6IN 32xlarge","m6in.32xlarge","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","EBS only","200 Gigabit","$8.9107 hourly"
"M6IN Metal","m6in.metal","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","EBS only","200 Gigabit","$8.9107 hourly"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","$9.3787 hourly"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$9.6768 hourly"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$9.6768 hourly"
"X2IDN 24xlarge","x2idn.24xlarge","1536.0 GiB","96 vCPUs","16.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$10.0035 hourly"
"X2IEZN 12xlarge","x2iezn.12xlarge","1536.0 GiB","48 vCPUs","32.00 GiB/vCPU","EBS only","100 Gigabit","$10.0080 hourly"
"X2IEZN Metal","x2iezn.metal","1536.0 GiB","48 vCPUs","32.00 GiB/vCPU","EBS only","100 Gigabit","$10.0080 hourly"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$10.1837 hourly"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$10.1837 hourly"
"I3EN Metal","i3en.metal","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","$10.8480 hourly"
"I3EN 24xlarge","i3en.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","$10.8480 hourly"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","8.00 GiB/vCPU","EBS only","50 Gigabit","$10.8864 hourly"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","8.00 GiB/vCPU","EBS only","50 Gigabit","$10.8864 hourly"
"I4I Metal","i4i.metal","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","$10.9820 hourly"
"I4I 32xlarge","i4i.32xlarge","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","$10.9824 hourly"
"R6IN 32xlarge","r6in.32xlarge","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","EBS only","200 Gigabit","$11.1571 hourly"
"R6IN Metal","r6in.metal","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","EBS only","200 Gigabit","$11.1571 hourly"
"P3 High Performance GPU Eight Extra Large","p3.8xlarge","244.0 GiB","32 vCPUs","7.62 GiB/vCPU","EBS only","10 Gigabit","$12.2400 hourly"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$12.5050 hourly"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","8.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$12.5050 hourly"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","4000 GB                 (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","$13.1090 hourly"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","15.25 GiB/vCPU","3760 GB                 (4 * 940 GB NVMe SSD)","25 Gigabit","$13.2000 hourly"
"X2IDN 32xlarge","x2idn.32xlarge","2048.0 GiB","128 vCPUs","16.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","15.25 GiB/vCPU","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$13.3380 hourly"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","32.00 GiB/vCPU","1900 GB                 NVMe SSD","50 Gigabit","$13.3380 hourly"
"X2IDN Metal","x2idn.metal","2048.0 GiB","128 vCPUs","16.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","30.50 GiB/vCPU","1920 GB                 SSD","10 Gigabit","$13.3440 hourly"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","11.44 GiB/vCPU","EBS only","25 Gigabit","$14.4000 hourly"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","4.00 GiB/vCPU","7600 GB                 (2 * 3800 GB NVMe SSD)","100 Gigabit","$16.2880 hourly"
"X2IEDN 24xlarge","x2iedn.24xlarge","3072.0 GiB","96 vCPUs","32.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$20.0070 hourly"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","$21.5000 hourly"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","7.62 GiB/vCPU","EBS only","25 Gigabit","$24.4800 hourly"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","4.00 GiB/vCPU","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","$24.7800 hourly"
"X2IEDN 32xlarge","x2iedn.32xlarge","4096.0 GiB","128 vCPUs","32.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly"
"X2IEDN Metal","x2iedn.metal","4096.0 GiB","128 vCPUs","32.00 GiB/vCPU","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","30.50 GiB/vCPU","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$26.6880 hourly"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","13.71 GiB/vCPU","EBS only","50 Gigabit","$27.3000 hourly"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","8.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","$31.2120 hourly"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","12.00 GiB/vCPU","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","$32.7726 hourly"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","12.00 GiB/vCPU","8000 GB                 (8 * 1000 GB NVMe SSD)","400 Gigabit","$40.9657 hourly"
"U-6TB1 56xlarge","u-6tb1.56xlarge","6144.0 GiB","224 vCPUs","27.43 GiB/vCPU","EBS only","100 Gigabit","$46.4039 hourly"
"U-6TB1 112xlarge","u-6tb1.112xlarge","6144.0 GiB","448 vCPUs","13.71 GiB/vCPU","EBS only","100 Gigabit","$54.6000 hourly"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","20.57 GiB/vCPU","EBS only","100 Gigabit","$81.9000 hourly"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","27.43 GiB/vCPU","EBS only","100 Gigabit","$109.2000 hourly"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","41.14 GiB/vCPU","EBS only","100 Gigabit","$163.8000 hourly"
"INF2 Extra Large","inf2.xlarge","16.0 GiB","4 vCPUs","4.00 GiB/vCPU","EBS only","Up to 15 Gigabit","unavailable"
"INF2 Eight Extra Large","inf2.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","Up to 25 Gigabit","unavailable"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","unavailable"
"INF2 48xlarge","inf2.48xlarge","768.0 GiB","192 vCPUs","4.00 GiB/vCPU","EBS only","100 Gigabit","unavailable"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","54.86 GiB/vCPU","EBS only","100 Gigabit","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","13.71 GiB/vCPU","EBS only","NA","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","1.33 GiB/vCPU","EBS only","10 Gigabit","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","448 vCPUs","20.57 GiB/vCPU","EBS only","NA","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","27.43 GiB/vCPU","EBS only","NA","unavailable"
"I2 Large","i2.large","15.0 GiB","2 vCPUs","7.50 GiB/vCPU","EBS only","Moderate","unavailable"
"MAC1 Metal","mac1.metal","32.0 GiB","12 vCPUs","2.67 GiB/vCPU","EBS only","25 Gigabit","unavailable"